indicador,campos,ejemplo,descripción,
I1,score general nacional,score general nacional,representa el promedio general a nivel nacional de los indicadores de twitter y medios noticiosos del mes anterior,
I2,score general salud nacional,score general salud nacional,representa el promedio general a nivel nacional de los indicadores de twitter y medios noticiosos en los temas de salud del mes anterior,
I3,score general economia nacional,score general economia nacional,representa el promedio general a nivel nacional de los indicadores de twitter y medios noticiosos  en los temas de economia del mes anterior,
I4,score general seguridad nacional,score general seguridad nacional,representa el promedio general a nivel nacional de los indicadores de twitter y medios noticiosos  en los temas de seguridad del mes anterior,
I5,score general servicios nacional,score general servicios nacional,representa el promedio general a nivel nacional de los indicadores de twitter y medios noticiosos  en los temas de servicios del mes anterior,
I6,estado score general twt,zacatecas score general twt,"representa el promedio general de los indicadores de Salud, Seguridad, Gobierno y Servicios emitidos de la percepción de los comentarios de twitter del mes anterior",
I7,estado score general noticias,zacatecas score general noticias,"representa el promedio general de los indicadores de Salud, Seguridad, Gobierno y Servicios emitidos en los medios noticiosos del mes anterior",
I8,estado score salud twt,zacatecas score salud twt,representa la percepción de los comentarios de twitter en los temas de salud del mes anterior,
I9,estado score salud noticias,zacatecas score salud noticias,representa la percepción de los comentarios en medios noticiosos en los temas de salud del mes anterior,
I10,estado score economia twt,zacatecas score economia twt,representa la percepción de los comentarios de twitter en los temas de economía  del mes anterior,
I11,estado score economia noticias,zacatecas score economia noticias,representa la percepción de los comentarios en medios noticiosos en los temas de economía del mes anterior,
I12,estado score seguridad twt,zacatecas score seguridad twt,representa la percepción de los comentarios de twitter en los temas de seguridad del mes anterior,
I13,estado score seguridad noticias,zacatecas score seguridad noticias,representa la percepción de los comentarios en medios noticiosos en los temas de seguridad del mes anterior,
I14,estado score servicios twt,zacatecas score servicios twt,representa la percepción de los comentarios de twitter en los temas de servicios  del mes anterior,
I15,estado score servicios noticias,zacatecas score servicios noticias,representa la percepción de los comentarios en medios noticiosos en los temas de servicios del mes anterior,
